"ID","EffTimestampUTC","ASIN","Brand","ListPrice","ListPriceCd","LowestNewPrice","LowestNewPriceCd","LowestUsedPrice","LowestUsedPriceCd","LowestRefurbPrice","LowestRefurbPriceCd","Manufacturer","Model","MPN","NumberOfItems","PackageQuantity","PartNumber","ProductTypeName","Title","UPC","Warranty"
21,1532212503,"B01MG0733A","Gigabyte",14999,"USD",13999,"USD",12949,"USD",13999,"USD","Gigabyte","GV-N1050OC-2GD","GV-N1050OC-2GD",NA,1,"GV-N1050OC-2GD","VIDEO_CARD","Gigabyte Geforce GTX 1050 2GB GDDR5 128 Bit PCI-E Graphic Card (GV-N1050OC-2GD)","889523007495","3"
22,1532212509,"B01M4KGTNI","Gigabyte",19999,"USD",16999,"USD",15441,"USD",18999,"USD","Gigabyte","GV-N105TD5-4GD","GV-N105TD5-4GD",NA,1,"GV-N105TD5-4GD","VIDEO_CARD","Gigabyte Geforce GTX 1050 Ti 4GB GDDR5 128 Bit PCI-E Graphic Card (GV-N105TD5-4GD)","889523007525","3"
23,1532212514,"B01KQUDE2Y","Gigabyte",25999,"USD",23999,"USD",22199,"USD",23999,"USD","Gigabyte","GV-N1060WF2OC-3GD","GV-N1060WF2OC-3GD",1,1,"GV-N1060WF2OC-3GD","VIDEO_CARD","Gigabyte GeForce GTX 1060 Windforce OC 3GB GDDR5 Graphics Card","771591291114",NA
24,1532212519,"B01JNUO6BG","Gigabyte",29999,"USD",29570,"USD",25221,"USD",26900,"USD","Gigabyte","GV-N1060WF2OC-6GD","GV-N1060WF2OC-6GD",NA,1,"GV-N1060WF2OC-6GD","VIDEO_CARD","Gigabyte GeForce GTX 1060 WINDFORCE OC 6G (GV-N1060WF2OC-6GD)","771591356493",NA
25,1532212525,"B075DF4PTF","Gigabyte",43999,"USD",42999,"USD",38530,"USD",NA,NA,"Gigabyte","GV-N1070WF2OC-8GD REV2.0","GV-N1070WF2OC-8GD REV2.0",1,1,"GV-N1070WF2OC-8GD REV2.0","VIDEO_CARD","Gigabyte GeForce GTX 1070 WINDFORCE OC 8G REV2.0 Graphic Cards (GV-N1070WF2OC-8GD REV2.0)","889523011010","3 years"
26,1532212530,"B077P9HX2V","Gigabyte",49999,"USD",48999,"USD",42900,"USD",47499,"USD","Gigabyte","GV-N107TGAMING-8GD","GV-N107TGAMING-8GD",1,1,"GV-N107TGAMING-8GD","VIDEO_CARD","Gigabyte GeForce GTX 1070 Ti GAMING 8G (GV-N107TGAMING-8GD)","889523011850","3 years"
27,1532212535,"B01IR6LMLO","Gigabyte",57999,"USD",49999,"USD",44319,"USD",47998,"USD","Gigabyte","GV-N1080WF3OC-8GD","GV-N1080WF3OC-8GD",1,1,"GV-N1080WF3OC-8GD","VIDEO_CARD","Gigabyte GeForce GTX 1080 Windforce OC GV-N1080WF3OC-8GD Graphics Cards","889523006405","3 years"
28,1532212540,"B06XHHSWVG","Gigabyte",69999,"USD",279900,"USD",76999,"USD",NA,NA,"Gigabyte","GV-N108TD5X-B","GV-N108TD5X-B",1,1,"GV-N108TD5X-B","COMPUTER","Gigabyte Geforce GTX 1080 Ti Founders Edition Video Card (GV-N108TD5X-B)","889523009475","3 years"
29,1532212545,"B00SD9KZCI","Gigabyte",20999,"USD",NA,NA,19822,"USD",NA,NA,"Gigabyte","GV-N960G1 GAMING-2GD","GV-N960G1 GAMING-2GD",NA,1,"GV-N960G1 GAMING-2GD","VIDEO_CARD","Gigabyte GTX 960 G1 Gaming 2GB GDDR5 Graphics Cards GV-N960G1 GAMING-2GD","804904192096",NA
30,1532237287,"B01IR6LMLO","Gigabyte",57999,"USD",49999,"USD",58999,"USD",47998,"USD","Gigabyte","GV-N1080WF3OC-8GD","GV-N1080WF3OC-8GD",1,1,"GV-N1080WF3OC-8GD","VIDEO_CARD","Gigabyte GeForce GTX 1080 Windforce OC GV-N1080WF3OC-8GD Graphics Cards","889523006405","3 years"
31,1532238364,"B00VBNT3X0","Gigabyte",NA,NA,NA,NA,21121,"USD",NA,NA,"Gigabyte","GV-N960G1 GAMING-4GD","GV-N960G1 GAMING-4GD",NA,1,"GV-N960G1 GAMING-4GD","VIDEO_CARD","Gigabyte GTX 960 G1 Graphics Cards, Black GV-N960G1 GAMING-4GD","813567020905",NA
32,1532238369,"B06Y5C27Y3","NVIDIA",136770,"USD",133990,"USD",108999,"USD",NA,NA,"NVIDIA","900-1G611-2530-000","900-1G611-2530-000",NA,1,"900-1G611-2530-000","CONSUMER_ELECTRONICS","NVIDIA TITAN Xp Graphics Card (900-1G611-2530-000)","812674021201",NA
33,1532238375,"B078G1VHYN","NVIDIA",358799,"USD",280000,"USD",265000,"USD",NA,NA,"NVIDIA",NA,"900-1G500-2500-000",NA,1,"900-1G500-2500-000","COMPUTER_COMPONENT","NVIDIA TITAN V VOLTA 12GB HBM2 VIDEO CARD","812674021416",NA
34,1532238380,"B077FDLH6M","MITXPC",499995,"USD",499995,"USD",NA,NA,NA,NA,"MITXPC",NA,"MWS-X299MDL.4x32.256N.4TB.2x80ti",NA,NA,"MWS-X299MDL.4x32.256N.4TB.2x80ti","PERSONAL_COMPUTER","Deep Learning Mini DevBox - Intel Core i7 7800X, 2x NVIDIA GeForce GTX 1080 Ti, 64GB memory, 4TB HDD- Preinstalled Ubuntu16.04 CUDA8 cuDNN DL4J CNTK MXNET Caffe PyTorch Torch7 Tensorflow Docker SciKit",NA,NA
35,1532238385,"B01BCDK1KC","Lambda",NA,NA,1425600,"USD",NA,NA,NA,NA,"Lambda Labs, Inc.","DBM-V3","DB-3",NA,NA,"DB-3","PERSONAL_COMPUTER","Lambda Deep Learning DevBox - with NVIDIA DIGITS - 4x NVIDIA GTX TITAN X 12GB GPUs - Preinstalled with Ubuntu 14.04 LTS, CUDA, Caffe, Torch, and CuDNN","694263972749",NA
36,1532238390,"B076751BN8","Intel",7900,"USD",7450,"USD",NA,NA,NA,NA,"Intel","NCSM2450.DK1","NCSM2450.DK1",1,1,"NCSM2450.DK1","COMPUTER_COMPONENT","Intel NCSM2450.DK1 Movidius Neural Compute Stick","735858359849","1 year part exchange"
37,1532238395,"B07C9H8MHD","Western Digital",11999,"USD",9999,"USD",8999,"USD",NA,NA,"WD","WDS250G2X0C","WDS250G2X0C",NA,1,"WDS250G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 250GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS250G2X0C","718037859057",NA
38,1532238401,"B07BRCLMTS","Western Digital",44999,"USD",37870,"USD",NA,NA,NA,NA,"WD","WDS100T2X0C","WDS100T2X0C",NA,1,"WDS100T2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 1TB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS100T2X0C","718037859064",NA
39,1532238406,"B07BR9FV1C","Western Digital",22999,"USD",14499,"USD",NA,NA,NA,NA,"WD","WDS500G2X0C","WDS500G2X0C",NA,1,"WDS500G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 500GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS500G2X0C","718037859040",NA
40,1532238411,"B07C8Y31G2","Samsung",24999,"USD",22999,"USD",20610,"USD",39977,"USD","Samsung Electronics DAV","MZ-V7P512BW","MZ-V7P512BW",1,1,"MZ-V7P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO 512GB - NVMe PCIe M.2 2280 SSD (MZ-V7P512BW)","887276261904","5-Year Limited Warranty"
41,1532238416,"B07BYHGNB5","Samsung",49999,"USD",48885,"USD",44638,"USD",69977,"USD","Samsung Electronics DAV","MZ-V7P1T0BW","MZ-V7P1T0BW",1,1,"MZ-V7P1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO Series - 1TB PCIe NVMe - M.2 Internal SSD Black/Red (MZ-V7P1T0BW)","887276261928","5-Year Limited Warranty"
42,1532238422,"B01M20VBU7","Samsung",24999,"USD",16998,"USD",14314,"USD",16900,"USD","Samsung IT","MZ-V6E500BW","MZ-V6E500BW",1,1,"MZ-V6E500BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 EVO Series - 500GB NVMe - M.2 Internal SSD (MZ-V6E500BW)","887276185293","3 Years/200TBW"
43,1532238427,"B01LYFKX41","Samsung",12999,"USD",10995,"USD",7529,"USD",19977,"USD","Samsung IT","MZ-V6E250BW","MZ-V6E250BW",1,1,"MZ-V6E250BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 EVO Series - 250GB PCIe NVMe - M.2 Internal SSD (MZ-V6E250BW)","887276185309","3 Years/100TBW"
44,1532238432,"B01LXS4TY6","Samsung",47999,"USD",29999,"USD",26999,"USD",29900,"USD","Samsung IT","MZ-V6E1T0BW","MZ-V6E1T0BW",1,1,"MZ-V6E1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 EVO Series - 1TB PCIe NVMe - M.2 Internal SSD (MZ-V6E1T0BW)","887276185286","3 Years/400TBW"
45,1532238437,"B01LXS4TYB","Samsung",28900,"USD",24096,"USD",19071,"USD",18900,"USD","Samsung IT","MZ-V6P512BW","MZ-V6P512BW",1,1,"MZ-V6P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO NVMe M.2 512GB SSD (MZ-V6P512BW)","887276185316","5 Years/400TBW"
46,1532238442,"B01LY3Y9PH","Samsung",129999,"USD",113898,"USD",96504,"USD",89900,"USD","Samsung IT","MZ-V6P2T0BW","MZ-V6P2T0BW",1,1,"MZ-V6P2T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO Series - 2TB PCIe NVMe - M.2 Internal SSD (MZ-V6P2T0BW)","887276185330","5 Years/1200TBW"
47,1532238448,"B01LYRCIPG","Samsung",59900,"USD",45485,"USD",41005,"USD",46900,"USD","Samsung","MZ-V6P1T0BW","MZ-V6P1T0BW",1,1,"MZ-V6P1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO Series - 1TB PCIe NVMe - M.2 Internal SSD (MZ-V6P1T0BW)","887276185323","5 Years/800TBW"
48,1532238453,"B01MQU72O9","Corsair",8226,"USD",8226,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F120GBMP500","CSSD-F120GBMP500",1,1,"CSSD-F120GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 120GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096713","3 Years"
49,1532238458,"B01N4C44VN","Corsair",14599,"USD",12385,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F240GBMP500","CSSD-F240GBMP500",NA,1,"CSSD-F240GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 240GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096720","3 Years"
50,1532238463,"B01N7GDWE2","Corsair",28899,"USD",28025,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F480GBMP500","CSSD-F480GBMP500",NA,1,"CSSD-F480GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 480GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096737","3 Years"
51,1532238469,"B07594YRWZ","Corsair",57500,"USD",57056,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F960GBMP500","CSSD-F960GBMP500",1,1,"CSSD-F960GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair CSSD-F960GBMP500 Force Series MP500 960GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591022507","3 years"
52,1532278807,"B06Y5C27Y3","NVIDIA",136768,"USD",133990,"USD",108999,"USD",NA,NA,"NVIDIA","900-1G611-2530-000","900-1G611-2530-000",NA,1,"900-1G611-2530-000","CONSUMER_ELECTRONICS","NVIDIA TITAN Xp Graphics Card (900-1G611-2530-000)","812674021201",NA
53,1532278840,"B07BRCLMTS","Western Digital",44999,"USD",37999,"USD",NA,NA,NA,NA,"WD","WDS100T2X0C","WDS100T2X0C",NA,1,"WDS100T2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 1TB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS100T2X0C","718037859064",NA
54,1532278845,"B07BR9FV1C","Western Digital",22999,"USD",18500,"USD",NA,NA,NA,NA,"WD","WDS500G2X0C","WDS500G2X0C",NA,1,"WDS500G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 500GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS500G2X0C","718037859040",NA
55,1532278850,"B07C8Y31G2","Samsung",24999,"USD",22999,"USD",19549,"USD",39977,"USD","Samsung Electronics DAV","MZ-V7P512BW","MZ-V7P512BW",1,1,"MZ-V7P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO 512GB - NVMe PCIe M.2 2280 SSD (MZ-V7P512BW)","887276261904","5-Year Limited Warranty"
56,1532278893,"B01MQU72O9","Corsair",8247,"USD",8247,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F120GBMP500","CSSD-F120GBMP500",1,1,"CSSD-F120GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 120GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096713","3 Years"
57,1532322016,"B06Y5C27Y3","NVIDIA",136761,"USD",133990,"USD",108999,"USD",NA,NA,"NVIDIA","900-1G611-2530-000","900-1G611-2530-000",NA,1,"900-1G611-2530-000","CONSUMER_ELECTRONICS","NVIDIA TITAN Xp Graphics Card (900-1G611-2530-000)","812674021201",NA
58,1532322051,"B07C9H8MHD","Western Digital",11999,"USD",10498,"USD",8999,"USD",NA,NA,"WD","WDS250G2X0C","WDS250G2X0C",NA,1,"WDS250G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 250GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS250G2X0C","718037859057",NA
59,1532322071,"B07BR9FV1C","Western Digital",22999,"USD",17999,"USD",NA,NA,NA,NA,"WD","WDS500G2X0C","WDS500G2X0C",NA,1,"WDS500G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 500GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS500G2X0C","718037859040",NA
60,1532322079,"B07C8Y31G2","Samsung",24999,"USD",22999,"USD",20699,"USD",39977,"USD","Samsung Electronics DAV","MZ-V7P512BW","MZ-V7P512BW",1,1,"MZ-V7P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO 512GB - NVMe PCIe M.2 2280 SSD (MZ-V7P512BW)","887276261904","5-Year Limited Warranty"
61,1532322093,"B07BYHGNB5","Samsung",49999,"USD",48885,"USD",44639,"USD",69977,"USD","Samsung Electronics DAV","MZ-V7P1T0BW","MZ-V7P1T0BW",1,1,"MZ-V7P1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO Series - 1TB PCIe NVMe - M.2 Internal SSD Black/Red (MZ-V7P1T0BW)","887276261928","5-Year Limited Warranty"
62,1532322163,"B00NAUHX1G","Vox",3999,"USD",3834,"USD",4473,"USD",NA,NA,"Korg USA Inc.","AP2AC","AP2-AC",1,1,"AP2-AC","SOUND_AND_RECORDING_EQUIPMENT","VOX AP2AC amPlug AC30 G2 Guitar Headphone","755756644472","1 year."
63,1532322177,"B01FHM1DNS","Donner",2600,"USD",1999,"USD",NA,NA,NA,NA,"Donner","EC911",NA,NA,1,NA,"INSTRUMENT_PARTS_AND_ACCESSORIES","Donner Plexi Tone Mini Guitar Headphone Amp Amplifier with Rechargeable Battery",NA,NA
64,1532322184,"B079FWQV3Z","Donner",2400,"USD",2400,"USD",NA,NA,NA,NA,"Donner","EC1083",NA,NA,1,NA,"SOUND_AND_RECORDING_EQUIPMENT","Donner Guitar Headphone AMP Heavy Metal Pocket FX Chorus Rechargeable Mini Practice Amplifier",NA,NA
65,1532322194,"B00CK2DM7Y","JOYO",1799,"USD",1799,"USD",NA,NA,NA,NA,"Joyo","JA-03","JA-03",1,1,"JA-03","SOUND_AND_RECORDING_EQUIPMENT","JOYO JA-03 ""Tube Drive"" Sound Effect Mini Guitar Pocket Amplifier with Headphone Output","798033251482","1"
66,1532365216,"B06Y5C27Y3","NVIDIA",136755,"USD",133990,"USD",108999,"USD",NA,NA,"NVIDIA","900-1G611-2530-000","900-1G611-2530-000",NA,1,"900-1G611-2530-000","CONSUMER_ELECTRONICS","NVIDIA TITAN Xp Graphics Card (900-1G611-2530-000)","812674021201",NA
67,1532365278,"B07C9H8MHD","Western Digital",11999,"USD",10494,"USD",NA,NA,NA,NA,"WD","WDS250G2X0C","WDS250G2X0C",NA,1,"WDS250G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 250GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS250G2X0C","718037859057",NA
68,1532365373,"B01MQU72O9","Corsair",8250,"USD",8250,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F120GBMP500","CSSD-F120GBMP500",1,1,"CSSD-F120GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 120GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096713","3 Years"
69,1532365422,"B00NAUHX1G","Vox",3999,"USD",3834,"USD",3199,"USD",NA,NA,"Korg USA Inc.","AP2AC","AP2-AC",1,1,"AP2-AC","SOUND_AND_RECORDING_EQUIPMENT","VOX AP2AC amPlug AC30 G2 Guitar Headphone","755756644472","1 year."
70,1532408407,"B06Y5C27Y3","NVIDIA",136745,"USD",133990,"USD",108999,"USD",NA,NA,"NVIDIA","900-1G611-2530-000","900-1G611-2530-000",NA,1,"900-1G611-2530-000","CONSUMER_ELECTRONICS","NVIDIA TITAN Xp Graphics Card (900-1G611-2530-000)","812674021201",NA
71,1532408454,"B07C9H8MHD","Western Digital",11999,"USD",9999,"USD",NA,NA,NA,NA,"WD","WDS250G2X0C","WDS250G2X0C",NA,1,"WDS250G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 250GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS250G2X0C","718037859057",NA
72,1532408471,"B07C8Y31G2","Samsung",24999,"USD",22999,"USD",39977,"USD",39977,"USD","Samsung Electronics DAV","MZ-V7P512BW","MZ-V7P512BW",1,1,"MZ-V7P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO 512GB - NVMe PCIe M.2 2280 SSD (MZ-V7P512BW)","887276261904","5-Year Limited Warranty"
73,1532408504,"B01LYFKX41","Samsung",12999,"USD",10995,"USD",8029,"USD",19977,"USD","Samsung IT","MZ-V6E250BW","MZ-V6E250BW",1,1,"MZ-V6E250BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 EVO Series - 250GB PCIe NVMe - M.2 Internal SSD (MZ-V6E250BW)","887276185309","3 Years/100TBW"
74,1532408530,"B01LXS4TYB","Samsung",28999,"USD",24096,"USD",19071,"USD",18900,"USD","Samsung IT","MZ-V6P512BW","MZ-V6P512BW",1,1,"MZ-V6P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO NVMe M.2 512GB SSD (MZ-V6P512BW)","887276185316","5 Years/400TBW"
75,1532408533,"B01LY3Y9PH","Samsung",129999,"USD",113893,"USD",96504,"USD",89900,"USD","Samsung IT","MZ-V6P2T0BW","MZ-V6P2T0BW",1,1,"MZ-V6P2T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO Series - 2TB PCIe NVMe - M.2 Internal SSD (MZ-V6P2T0BW)","887276185330","5 Years/1200TBW"
76,1532408550,"B01N4C44VN","Corsair",14599,"USD",12389,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F240GBMP500","CSSD-F240GBMP500",NA,1,"CSSD-F240GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 240GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096720","3 Years"
77,1532408580,"B00NAUHX1G","Vox",3999,"USD",3822,"USD",3199,"USD",NA,NA,"Korg USA Inc.","AP2AC","AP2-AC",1,1,"AP2-AC","SOUND_AND_RECORDING_EQUIPMENT","VOX AP2AC amPlug AC30 G2 Guitar Headphone","755756644472","1 year."
78,1532451614,"B06Y5C27Y3","NVIDIA",136743,"USD",133990,"USD",108999,"USD",NA,NA,"NVIDIA","900-1G611-2530-000","900-1G611-2530-000",NA,1,"900-1G611-2530-000","CONSUMER_ELECTRONICS","NVIDIA TITAN Xp Graphics Card (900-1G611-2530-000)","812674021201",NA
79,1532451702,"B07C8Y31G2","Samsung",24999,"USD",22999,"USD",20699,"USD",39977,"USD","Samsung Electronics DAV","MZ-V7P512BW","MZ-V7P512BW",1,1,"MZ-V7P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO 512GB - NVMe PCIe M.2 2280 SSD (MZ-V7P512BW)","887276261904","5-Year Limited Warranty"
80,1532451706,"B07BYHGNB5","Samsung",49999,"USD",47887,"USD",44639,"USD",69977,"USD","Samsung Electronics DAV","MZ-V7P1T0BW","MZ-V7P1T0BW",1,1,"MZ-V7P1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO Series - 1TB PCIe NVMe - M.2 Internal SSD Black/Red (MZ-V7P1T0BW)","887276261928","5-Year Limited Warranty"
81,1532451737,"B01LYFKX41","Samsung",12999,"USD",10995,"USD",8412,"USD",19977,"USD","Samsung IT","MZ-V6E250BW","MZ-V6E250BW",1,1,"MZ-V6E250BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 EVO Series - 250GB PCIe NVMe - M.2 Internal SSD (MZ-V6E250BW)","887276185309","3 Years/100TBW"
82,1532451758,"B01LXS4TYB","Samsung",27549,"USD",NA,NA,19071,"USD",18900,"USD","Samsung IT","MZ-V6P512BW","MZ-V6P512BW",1,1,"MZ-V6P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO NVMe M.2 512GB SSD (MZ-V6P512BW)","887276185316","5 Years/400TBW"
83,1532451762,"B01LY3Y9PH","Samsung",129999,"USD",113892,"USD",94168,"USD",89900,"USD","Samsung IT","MZ-V6P2T0BW","MZ-V6P2T0BW",1,1,"MZ-V6P2T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO Series - 2TB PCIe NVMe - M.2 Internal SSD (MZ-V6P2T0BW)","887276185330","5 Years/1200TBW"
84,1532451791,"B01MQU72O9","Corsair",8252,"USD",8252,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F120GBMP500","CSSD-F120GBMP500",1,1,"CSSD-F120GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 120GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096713","3 Years"
85,1532451826,"B00NAUHX1G","Vox",3999,"USD",3834,"USD",3599,"USD",NA,NA,"Korg USA Inc.","AP2AC","AP2-AC",1,1,"AP2-AC","SOUND_AND_RECORDING_EQUIPMENT","VOX AP2AC amPlug AC30 G2 Guitar Headphone","755756644472","1 year."
86,1532494806,"B06Y5C27Y3","NVIDIA",136726,"USD",133990,"USD",108999,"USD",NA,NA,"NVIDIA","900-1G611-2530-000","900-1G611-2530-000",NA,1,"900-1G611-2530-000","CONSUMER_ELECTRONICS","NVIDIA TITAN Xp Graphics Card (900-1G611-2530-000)","812674021201",NA
87,1532494893,"B07BYHGNB5","Samsung",49999,"USD",49599,"USD",44639,"USD",69977,"USD","Samsung Electronics DAV","MZ-V7P1T0BW","MZ-V7P1T0BW",1,1,"MZ-V7P1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO Series - 1TB PCIe NVMe - M.2 Internal SSD Black/Red (MZ-V7P1T0BW)","887276261928","5-Year Limited Warranty"
88,1532494903,"B01M20VBU7","Samsung",24999,"USD",16899,"USD",14314,"USD",16900,"USD","Samsung IT","MZ-V6E500BW","MZ-V6E500BW",1,1,"MZ-V6E500BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 EVO Series - 500GB NVMe - M.2 Internal SSD (MZ-V6E500BW)","887276185293","3 Years/200TBW"
89,1532494927,"B01LXS4TYB","Samsung",27554,"USD",NA,NA,18900,"USD",18900,"USD","Samsung IT","MZ-V6P512BW","MZ-V6P512BW",1,1,"MZ-V6P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO NVMe M.2 512GB SSD (MZ-V6P512BW)","887276185316","5 Years/400TBW"
90,1532494942,"B01LY3Y9PH","Samsung",129999,"USD",110900,"USD",94168,"USD",89900,"USD","Samsung IT","MZ-V6P2T0BW","MZ-V6P2T0BW",1,1,"MZ-V6P2T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO Series - 2TB PCIe NVMe - M.2 Internal SSD (MZ-V6P2T0BW)","887276185330","5 Years/1200TBW"
91,1532494990,"B00NAUHX1G","Vox",3996,"USD",3834,"USD",3596,"USD",NA,NA,"Korg USA Inc.","AP2AC","AP2-AC",1,1,"AP2-AC","SOUND_AND_RECORDING_EQUIPMENT","VOX AP2AC amPlug AC30 G2 Guitar Headphone","755756644472","1 year."
92,1532538008,"B06Y5C27Y3","NVIDIA",136726,"USD",133990,"USD",108999,"USD",122900,"USD","NVIDIA","900-1G611-2530-000","900-1G611-2530-000",NA,1,"900-1G611-2530-000","CONSUMER_ELECTRONICS","NVIDIA TITAN Xp Graphics Card (900-1G611-2530-000)","812674021201",NA
93,1532538053,"B07C8Y31G2","Samsung",24999,"USD",22999,"USD",39977,"USD",39977,"USD","Samsung Electronics DAV","MZ-V7P512BW","MZ-V7P512BW",1,1,"MZ-V7P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO 512GB - NVMe PCIe M.2 2280 SSD (MZ-V7P512BW)","887276261904","5-Year Limited Warranty"
